,Apartment_ID,Rooms,Garage,Useful_Area,Latitude,Longitude,Seller_Value,Condition,Coordinates,Action,County
6082,17102,2.0,1.0,80,-23.5567156,-46.6636842,1173610,1,"-23.5567156, -46.6636842",Buy,Cerqueira César
6084,13648,3.0,1.0,100,-23.5778358,-46.6395809,1151170,1,"-23.5778358, -46.6395809",Buy,Vila Mariana
6092,10426,3.0,2.0,139,-23.5705234,-46.658538799999995,1177700,1,"-23.5705234, -46.658538799999995",Buy,Jardim Paulista
6104,14940,3.0,2.0,166,-23.563764499999998,-46.586448700000005,1206530,1,"-23.563764499999998, -46.586448700000005",Buy,Mooca
6137,5302,3.0,2.0,127,-23.546926100000004,-46.6602861,1478320,1,"-23.546926100000004, -46.6602861",Buy,Consolação
6165,10137,2.0,2.0,110,-23.5662943,-46.6571649,1220280,1,"-23.5662943, -46.6571649",Buy,Jardim Paulista
6205,9888,3.0,2.0,141,-23.5671796,-46.6549494,1790890,1,"-23.5671796, -46.6549494",Buy,Jardim Paulista
6209,15015,2.0,2.0,144,-23.554946100000002,-46.589734,983653,1,"-23.554946100000002, -46.589734",Buy,Região Imediata de São Paulo
6273,7115,3.0,2.0,81,-23.5824909,-46.628411,886595,1,"-23.5824909, -46.628411",Buy,Vila Mariana
6280,1458,2.0,2.0,114,-23.553693,-46.6918336,1497160,1,"-23.553693, -46.6918336",Buy,Pinheiros
6288,15913,2.0,1.0,66,-23.611584699999998,-46.665121,785954,1,"-23.611584699999998, -46.665121",Buy,Moema
6322,166,3.0,3.0,119,-23.533313,-46.689809000000004,1401540,1,"-23.533313, -46.689809000000004",Buy,Pompéia
6336,733,3.0,2.0,94,-23.524607999999997,-46.7020477,834218,1,"-23.524607999999997, -46.7020477",Buy,Lapa
6376,3282,2.0,1.0,90,-23.566323399999998,-46.6980945,875320,1,"-23.566323399999998, -46.6980945",Buy,Pinheiros
6381,10583,3.0,1.0,125,-23.5602479,-46.6606809,1833770,1,"-23.5602479, -46.6606809",Buy,Cerqueira César
6387,7188,2.0,1.0,95,-23.5720378,-46.621194200000005,459829,1,"-23.5720378, -46.621194200000005",Buy,Região Imediata de São Paulo
6432,12097,2.0,2.0,59,-23.608410600000003,-46.7255532,415036,1,"-23.608410600000003, -46.7255532",Buy,Região Imediata de São Paulo
6441,14407,2.0,1.0,100,-23.5907374,-46.6328,899084,1,"-23.5907374, -46.6328",Buy,Vila Mariana
6442,15121,2.0,1.0,74,-23.5587624,-46.5941499,464597,1,"-23.5587624, -46.5941499",Buy,Mooca
6446,14988,2.0,1.0,128,-23.562075399999998,-46.5875696,821998,1,"-23.562075399999998, -46.5875696",Buy,Mooca
6447,13223,2.0,1.0,92,-23.5875604,-46.642112899999994,783535,1,"-23.5875604, -46.642112899999994",Buy,Vila Mariana
6494,4578,2.0,1.0,62,-23.5541189,-46.6530597,667560,1,"-23.5541189, -46.6530597",Buy,Consolação
6498,3057,3.0,1.0,75,-23.5635687,-46.683119,812384,1,"-23.5635687, -46.683119",Buy,Pinheiros
6507,6970,3.0,1.0,62,-23.558335800000002,-46.6204773,465724,1,"-23.558335800000002, -46.6204773",Buy,Região Imediata de São Paulo
6533,3378,2.0,1.0,70,-23.5626289,-46.6901261,677212,1,"-23.5626289, -46.6901261",Buy,Pinheiros
6544,5518,2.0,1.0,80,-23.5572405,-46.6742672,831912,1,"-23.5572405, -46.6742672",Buy,Jardim Paulista
6562,14927,3.0,1.0,65,-23.5630818,-46.5819273,481403,1,"-23.5630818, -46.5819273",Buy,Região Imediata de São Paulo
6567,3289,3.0,1.0,106,-23.5660776,-46.6802643,1696230,1,"-23.5660776, -46.6802643",Buy,Pinheiros
6607,17018,3.0,1.0,140,-23.563116600000004,-46.6706316,2053820,1,"-23.563116600000004, -46.6706316",Buy,Jardim Paulista
6608,14576,3.0,3.0,91,-23.561706100000002,-46.678226200000005,1281610,1,"-23.561706100000002, -46.678226200000005",Buy,Jardim Paulista
6635,13630,2.0,2.0,92,-23.5925807,-46.63507979999999,732634,1,"-23.5925807, -46.63507979999999",Buy,Vila Mariana
6657,695,2.0,1.0,76,-23.5332358,-46.6873508,645164,1,"-23.5332358, -46.6873508",Buy,Perdizes
6661,16389,3.0,2.0,106,-23.606070000000003,-46.668975,1100210,1,"-23.606070000000003, -46.668975",Buy,Moema
6693,17116,2.0,2.0,158,-23.558002300000002,-46.6652503,2578560,1,"-23.558002300000002, -46.6652503",Buy,Cerqueira César
6694,13143,2.0,2.0,63,-23.573222100000002,-46.6498136,782991,1,"-23.573222100000002, -46.6498136",Buy,Vila Mariana
6726,680,3.0,2.0,102,-23.5317493,-46.727377399999995,983441,1,"-23.5317493, -46.727377399999995",Buy,Vila Hamburguesa
6731,4702,3.0,1.0,120,-23.542769800000002,-46.6542995,1053740,1,"-23.542769800000002, -46.6542995",Buy,Consolação
6741,16823,2.0,1.0,85,-23.5603841,-46.666037700000004,990206,1,"-23.5603841, -46.666037700000004",Buy,Jardim Paulista
6769,1512,3.0,3.0,165,-23.574372699999998,-46.732719,1323300,1,"-23.574372699999998, -46.732719",Buy,Região Imediata de São Paulo
6771,13329,3.0,2.0,93,-23.587158,-46.6441113,1177180,1,"-23.587158, -46.6441113",Buy,Vila Mariana
6775,16497,2.0,2.0,90,-23.611083999999998,-46.6404657,689481,1,"-23.611083999999998, -46.6404657",Buy,Região Imediata de São Paulo
6807,3861,3.0,2.0,140,-23.5986026,-46.66756420000001,1597440,1,"-23.5986026, -46.66756420000001",Buy,Moema
6817,13920,3.0,1.0,140,-23.5762435,-46.6441023,1475550,1,"-23.5762435, -46.6441023",Buy,Vila Mariana
6829,10215,3.0,1.0,136,-23.5629839,-46.6522473,1154910,1,"-23.5629839, -46.6522473",Buy,Bela Vista
6848,10222,3.0,1.0,95,-23.569368,-46.6623206,1168760,1,"-23.569368, -46.6623206",Buy,Jardim Paulista
6857,16307,3.0,2.0,126,-23.6364964,-46.645191,665930,1,"-23.6364964, -46.645191",Buy,Jabaquara
6861,1585,2.0,1.0,85,-23.5261349,-46.6915672,532188,1,"-23.5261349, -46.6915672",Buy,Lapa
6910,818,2.0,1.0,74,-23.533519000000002,-46.6911109,761825,1,"-23.533519000000002, -46.6911109",Buy,Perdizes
6929,14829,3.0,2.0,79,-23.5594607,-46.59033170000001,584050,1,"-23.5594607, -46.59033170000001",Buy,Mooca
6990,13327,3.0,3.0,125,-23.5840133,-46.645578,1458510,1,"-23.5840133, -46.645578",Buy,Vila Mariana
6996,5414,3.0,1.0,125,-23.5580383,-46.6734659,1249060,1,"-23.5580383, -46.6734659",Buy,Cerqueira César
7003,3201,2.0,1.0,66,-23.5622782,-46.6884114,823389,1,"-23.5622782, -46.6884114",Buy,Pinheiros
7005,2486,2.0,1.0,71,-23.624022399999998,-46.6884924,999453,1,"-23.624022399999998, -46.6884924",Buy,Itaim Bibi
7012,61,2.0,1.0,77,-23.535323499999997,-46.6900287,718879,1,"-23.535323499999997, -46.6900287",Buy,Perdizes
7028,16884,2.0,2.0,59,-23.559836100000002,-46.663491799999996,865537,1,"-23.559836100000002, -46.663491799999996",Buy,Cerqueira César
7053,3221,3.0,1.0,121,-23.5678601,-46.691911,1048580,1,"-23.5678601, -46.691911",Buy,Pinheiros
7061,3805,3.0,1.0,130,-23.6025433,-46.670061,1184620,1,"-23.6025433, -46.670061",Buy,Moema
7062,15783,3.0,2.0,80,-23.6373279,-46.6470622,549402,1,"-23.6373279, -46.6470622",Buy,Jabaquara
7065,770,2.0,1.0,54,-23.5328287,-46.6842201,673806,1,"-23.5328287, -46.6842201",Buy,Perdizes
7078,690,2.0,2.0,92,-23.5207191,-46.7056165,809457,1,"-23.5207191, -46.7056165",Buy,Região Imediata de São Paulo
7113,16817,2.0,1.0,55,-23.628632500000002,-46.6454521,345776,1,"-23.628632500000002, -46.6454521",Buy,Saúde
7119,13698,2.0,2.0,80,-23.599415899999997,-46.6335153,725180,1,"-23.599415899999997, -46.6335153",Buy,Saúde
7149,8584,2.0,1.0,66,-23.5382844,-46.670640999999996,613886,1,"-23.5382844, -46.670640999999996",Buy,Perdizes
7156,1558,3.0,1.0,79,-23.529099,-46.6891151,583377,1,"-23.529099, -46.6891151",Buy,Pompéia
7165,2169,2.0,1.0,70,-23.6399427,-46.671089,527387,1,"-23.6399427, -46.671089",Buy,Campo Belo
7168,4120,3.0,1.0,107,-23.5445158,-46.6489295,830196,1,"-23.5445158, -46.6489295",Buy,Consolação
7184,14852,2.0,2.0,57,-23.585458199999998,-46.603621399999994,461721,1,"-23.585458199999998, -46.603621399999994",Buy,Ipiranga
7190,17055,3.0,3.0,136,-23.5597889,-46.6641258,1693700,1,"-23.5597889, -46.6641258",Buy,Cerqueira César
7192,16220,3.0,1.0,135,-23.624043899999997,-46.644573,848723,1,"-23.624043899999997, -46.644573",Buy,Saúde
7198,1560,3.0,2.0,83,-23.546571,-46.693838,976228,1,"-23.546571, -46.693838",Buy,Região Imediata de São Paulo
7276,15421,3.0,1.0,87,-23.597611399999998,-46.682742299999994,959732,1,"-23.597611399999998, -46.682742299999994",Buy,Itaim Bibi
7298,2570,2.0,2.0,87,-23.620568399999996,-46.6772197,1058380,1,"-23.620568399999996, -46.6772197",Buy,Campo Belo
7326,11879,3.0,2.0,85,-23.6105962,-46.689065299999996,678213,1,"-23.6105962, -46.689065299999996",Buy,Itaim Bibi
7353,2247,2.0,2.0,120,-23.6455667,-46.7019597,1373140,1,"-23.6455667, -46.7019597",Buy,Santo Amaro
7377,800,3.0,1.0,72,-23.5339009,-46.691614200000004,832494,1,"-23.5339009, -46.691614200000004",Buy,Perdizes
7445,17222,3.0,1.0,73,-23.562737,-46.6430289,1077020,1,"-23.562737, -46.6430289",Buy,Bela Vista
7454,1864,2.0,1.0,80,-23.5469936,-46.6928391,714651,1,"-23.5469936, -46.6928391",Buy,Região Imediata de São Paulo
7475,13912,2.0,2.0,74,-23.579559699999997,-46.634744,973586,1,"-23.579559699999997, -46.634744",Buy,Vila Mariana
7478,842,3.0,1.0,72,-23.542355399999998,-46.716605,612978,1,"-23.542355399999998, -46.716605",Buy,Alto de Pinheiros
7491,14933,3.0,2.0,68,-23.5630357,-46.5943657,572641,1,"-23.5630357, -46.5943657",Buy,Mooca
7513,7122,3.0,1.0,136,-23.5715781,-46.6284633,762841,1,"-23.5715781, -46.6284633",Buy,Aclimação
7516,16050,2.0,1.0,75,-23.6116182,-46.641060499999995,574567,1,"-23.6116182, -46.641060499999995",Buy,Região Imediata de São Paulo
7603,14757,3.0,2.0,161,-23.5856374,-46.604553700000004,1446560,1,"-23.5856374, -46.604553700000004",Buy,Ipiranga
7620,16109,3.0,2.0,112,-23.6029828,-46.6588312,1466910,1,"-23.6029828, -46.6588312",Buy,Região Imediata de São Paulo
7643,1444,2.0,1.0,114,-23.542202300000003,-46.684881700000005,1101800,1,"-23.542202300000003, -46.684881700000005",Buy,Perdizes
7695,1713,2.0,1.0,53,-23.526998100000004,-46.7055104,474504,1,"-23.526998100000004, -46.7055104",Buy,Lapa
7750,8887,2.0,1.0,165,-23.581061,-46.6777612,1858460,1,"-23.581061, -46.6777612",Buy,Itaim Bibi
7799,14751,3.0,2.0,130,-23.5541641,-46.5981186,981078,1,"-23.5541641, -46.5981186",Buy,Mooca
7813,6901,3.0,1.0,100,-23.5812592,-46.6307914,794406,1,"-23.5812592, -46.6307914",Buy,Vila Mariana
7944,14836,3.0,2.0,85,-23.557406699999998,-46.5951543,629527,1,"-23.557406699999998, -46.5951543",Buy,Mooca
7968,6955,3.0,1.0,105,-23.5850585,-46.60772539999999,690796,1,"-23.5850585, -46.60772539999999",Buy,Vila Monumento
7998,9091,3.0,1.0,85,-23.582040600000003,-46.6720599,814858,1,"-23.582040600000003, -46.6720599",Buy,Região Imediata de São Paulo
8000,1791,2.0,2.0,156,-23.554420999999998,-46.691407299999995,1509210,1,"-23.554420999999998, -46.691407299999995",Buy,Pinheiros
8013,12564,2.0,2.0,121,-23.601446,-46.717651000000004,1084740,1,"-23.601446, -46.717651000000004",Buy,Região Imediata de São Paulo
8015,2176,3.0,1.0,61,-23.646142,-46.6670451,483193,1,"-23.646142, -46.6670451",Buy,Região Imediata de São Paulo
8019,17017,3.0,1.0,98,-23.561448600000002,-46.6652185,1191690,1,"-23.561448600000002, -46.6652185",Buy,Jardim Paulista
8032,16311,3.0,2.0,160,-23.6458129,-46.6505648,1097340,1,"-23.6458129, -46.6505648",Buy,Jabaquara
8039,14782,3.0,2.0,107,-23.560230800000003,-46.5952794,818206,1,"-23.560230800000003, -46.5952794",Buy,Região Metropolitana de São Paulo
8055,5089,3.0,1.0,126,-23.544514899999996,-46.6510453,1412000,1,"-23.544514899999996, -46.6510453",Buy,Consolação
8056,7100,2.0,1.0,87,-23.5663831,-46.623099700000004,603844,1,"-23.5663831, -46.623099700000004",Buy,Cambuci
8071,13025,2.0,2.0,140,-23.6011079,-46.716117499999996,1718800,1,"-23.6011079, -46.716117499999996",Buy,Região Imediata de São Paulo
8079,16933,3.0,1.0,120,-23.560562899999997,-46.66659,1605570,1,"-23.560562899999997, -46.66659",Buy,Cerqueira César
8088,16956,3.0,2.0,155,-23.560697100000002,-46.6695455,1860720,1,"-23.560697100000002, -46.6695455",Buy,Jardim Paulista
8132,16054,3.0,3.0,155,-23.6107681,-46.6593185,1754020,1,"-23.6107681, -46.6593185",Buy,Moema
8136,3591,2.0,1.0,70,-23.6019316,-46.6703548,771598,1,"-23.6019316, -46.6703548",Buy,Moema
8138,16121,2.0,1.0,70,-23.6112319,-46.6625069,833588,1,"-23.6112319, -46.6625069",Buy,Moema
8161,17094,3.0,2.0,150,-23.560982199999998,-46.669293100000004,1742840,1,"-23.560982199999998, -46.669293100000004",Buy,Jardim Paulista
8190,14937,3.0,2.0,92,-23.5608466,-46.585525700000005,681371,1,"-23.5608466, -46.585525700000005",Buy,Mooca
8235,4161,2.0,1.0,93,-23.547400800000002,-46.6535435,836304,1,"-23.547400800000002, -46.6535435",Buy,Higienópolis
8306,411,2.0,1.0,55,-23.560089899999998,-46.698798700000005,674134,1,"-23.560089899999998, -46.698798700000005",Buy,Vila Madalena
8310,4607,3.0,1.0,169,-23.5391986,-46.6550891,1893880,1,"-23.5391986, -46.6550891",Buy,Santa Cecília
8324,106,2.0,3.0,160,-23.549950199999998,-46.6901484,1802720,1,"-23.549950199999998, -46.6901484",Buy,Pinheiros
8326,14790,2.0,1.0,67,-23.5780043,-46.5927189,564220,1,"-23.5780043, -46.5927189",Buy,Mooca
8339,645,2.0,2.0,110,-23.535914000000002,-46.703109000000005,1189960,1,"-23.535914000000002, -46.703109000000005",Buy,Vila Argentina
8347,459,3.0,1.0,90,-23.552794100000003,-46.698058,1088240,1,"-23.552794100000003, -46.698058",Buy,Alto de Pinheiros
8370,2081,3.0,1.0,95,-23.623103,-46.68327,777839,1,"-23.623103, -46.68327",Buy,Campo Belo
8378,3571,3.0,3.0,166,-23.597129000000002,-46.670035999999996,3162310,1,"-23.597129000000002, -46.670035999999996",Buy,Região Imediata de São Paulo
8481,11926,3.0,2.0,108,-23.612045000000002,-46.7327385,605843,1,"-23.612045000000002, -46.7327385",Buy,Vila Sônia
8485,13833,2.0,1.0,60,-23.598764499999998,-46.6400348,461341,1,"-23.598764499999998, -46.6400348",Buy,Saúde
8487,3270,2.0,3.0,162,-23.5728202,-46.690583200000006,4304870,1,"-23.5728202, -46.690583200000006",Buy,Pinheiros
8576,16560,3.0,3.0,176,-23.619711399999996,-46.6404614,1729790,1,"-23.619711399999996, -46.6404614",Buy,Saúde
8600,4550,3.0,1.0,144,-23.546608,-46.65759129999999,1251820,1,"-23.546608, -46.65759129999999",Buy,Consolação
8611,366,3.0,1.0,79,-23.528861600000003,-46.727133200000004,656126,1,"-23.528861600000003, -46.727133200000004",Buy,Vila Leopoldina
8639,8941,2.0,3.0,169,-23.587893899999997,-46.677986600000004,3160660,1,"-23.587893899999997, -46.677986600000004",Buy,Região Imediata de São Paulo
8679,13400,2.0,1.0,82,-23.588016399999997,-46.6356378,633372,1,"-23.588016399999997, -46.6356378",Buy,Vila Mariana
8713,747,3.0,2.0,80,-23.5428343,-46.687731899999996,941836,1,"-23.5428343, -46.687731899999996",Buy,Sumaré
8740,10637,3.0,1.0,90,-23.5602792,-46.663353799999996,981992,1,"-23.5602792, -46.663353799999996",Buy,Cerqueira César
8742,12861,3.0,2.0,75,-23.6125316,-46.6803615,903114,1,"-23.6125316, -46.6803615",Buy,Itaim Bibi
8745,755,3.0,1.0,70,-23.5342895,-46.683607099999996,931262,1,"-23.5342895, -46.683607099999996",Buy,Perdizes
8755,17121,3.0,1.0,100,-23.560006299999998,-46.6691569,1250260,1,"-23.560006299999998, -46.6691569",Buy,Cerqueira César
8763,17082,3.0,2.0,163,-23.558873300000002,-46.664323100000004,2557030,1,"-23.558873300000002, -46.664323100000004",Buy,Cerqueira César
8790,17074,3.0,1.0,126,-23.563693899999997,-46.6694451,1692830,1,"-23.563693899999997, -46.6694451",Buy,Jardim Paulista
8793,14838,2.0,1.0,67,-23.5491468,-46.594069700000006,496216,1,"-23.5491468, -46.594069700000006",Buy,Mooca
8797,14531,3.0,2.0,140,-23.5925807,-46.63507979999999,1114880,1,"-23.5925807, -46.63507979999999",Buy,Vila Mariana
8804,13219,3.0,1.0,170,-23.5671795,-46.6476291,1574980,1,"-23.5671795, -46.6476291",Buy,Morro dos Ingleses
8847,7134,3.0,1.0,110,-23.5725245,-46.61287539999999,611037,1,"-23.5725245, -46.61287539999999",Buy,Cambuci
8857,1392,2.0,2.0,83,-23.548478399999997,-46.6931176,740215,1,"-23.548478399999997, -46.6931176",Buy,Pinheiros
8869,14906,3.0,2.0,76,-23.5796413,-46.5887047,500304,1,"-23.5796413, -46.5887047",Buy,Parque da Mooca
8891,14242,2.0,1.0,65,-23.5957016,-46.64318170000001,570461,1,"-23.5957016, -46.64318170000001",Buy,Vila Mariana
8894,521,3.0,2.0,92,-23.533054500000002,-46.71662620000001,1038550,1,"-23.533054500000002, -46.71662620000001",Buy,Lapa
8908,3419,2.0,1.0,78,-23.5607121,-46.684253999999996,769072,1,"-23.5607121, -46.684253999999996",Buy,Pinheiros
8924,5599,2.0,1.0,85,-23.5555277,-46.6742562,1060420,1,"-23.5555277, -46.6742562",Buy,Cerqueira César
8942,1676,2.0,1.0,60,-23.5324387,-46.6908399,507875,1,"-23.5324387, -46.6908399",Buy,Pompéia
8963,884,3.0,1.0,91,-23.543167899999997,-46.687012599999996,845699,1,"-23.543167899999997, -46.687012599999996",Buy,Região Imediata de São Paulo
